,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
100,Kisangani,98,CD,1584314877,92,0.52,25.2,72.14,2.04
101,Christchurch,0,NZ,1584314586,52,-43.53,172.63,72.0,17.22
102,Khartoum,66,SD,1584315133,12,15.55,32.53,73.4,11.41
103,Yantal',100,RU,1584315134,93,56.85,105.25,26.02,12.17
104,Port Shepstone,79,ZA,1584315135,89,-30.74,30.45,68.32,9.69
105,East London,100,ZA,1584314471,71,-33.02,27.91,70.05,11.77
106,Sur,8,OM,1584314732,74,22.57,59.53,66.38,8.81
107,Ixtapa,5,MX,1584315138,69,20.7,-105.2,78.8,11.41
108,Nome,100,US,1584314670,96,64.5,-165.41,27.7,7.14
109,Ribeira Grande,42,PT,1584314875,82,38.52,-28.7,56.77,8.1
110,Curuçá,100,BR,1584315142,83,-0.73,-47.85,78.04,2.39
111,Hithadhoo,84,MV,1584314417,62,-0.6,73.08,82.99,5.88
112,Castro,7,BR,1584314342,78,-24.79,-50.01,67.95,3.47
113,Utete,95,TZ,1584315145,97,-7.99,38.76,76.32,2.17
114,San Quintín,2,MX,1584315146,71,30.48,-115.95,61.45,16.13
115,Caxias,24,PT,1584315147,76,38.7,-9.28,53.01,11.41
116,Maceió,75,BR,1584315148,94,-9.67,-35.74,75.2,3.36
117,Bogale,100,MM,1584315150,72,16.28,95.4,72.81,4.97
118,Tasiilaq,100,GL,1584314617,50,65.61,-37.64,6.8,13.87
119,Gazli,100,UZ,1584315152,33,40.13,63.45,60.53,5.06
120,Manggar,39,ID,1584315153,76,-2.88,108.27,81.79,4.68
121,Coquimbo,90,CL,1584315154,82,-29.95,-71.34,62.6,6.93
122,Hobart,75,AU,1584314405,62,-42.88,147.33,62.01,4.7
123,Talcahuano,0,CL,1584315157,63,-36.72,-73.12,62.6,14.99
124,Hermanus,24,ZA,1584314533,83,-34.42,19.23,63.0,5.01
125,Gladstone,0,AU,1584315056,50,-23.85,151.25,77.0,13.87
126,Solms,75,DE,1584315160,88,50.77,9.6,46.0,2.24
127,Lamu,100,KE,1584315161,82,-2.27,40.9,83.23,12.26
128,Yumen,55,CN,1584315162,40,40.28,97.2,27.72,0.31
129,Seymchan,21,RU,1584315163,84,62.88,152.43,-7.85,3.8
130,Belmonte,91,BR,1584315164,78,-15.86,-38.88,78.8,3.36
131,Airai,76,TL,1584314643,61,-8.93,125.41,76.41,1.92
132,Coyhaique,75,CL,1584315167,63,-45.58,-72.07,60.8,6.02
133,Coahuayana Viejo,75,MX,1584315168,74,18.73,-103.68,80.6,13.87
134,Srednekolymsk,0,RU,1584314607,88,67.45,153.68,-9.78,3.02
135,Vanavara,100,RU,1584315170,92,60.34,102.28,27.01,9.93
136,Yeppoon,20,AU,1584315171,53,-23.13,150.73,77.0,11.41
137,Boyuibe,90,BO,1584315172,69,-20.42,-63.28,75.2,9.17
138,Zunyi,100,CN,1584315174,78,27.69,106.91,49.91,7.27
139,Barrow,90,US,1584314656,77,71.29,-156.79,6.8,24.16
140,Raja,71,SS,1584315176,24,8.46,25.68,71.49,3.02
141,Cidreira,85,BR,1584314723,91,-30.18,-50.21,75.79,8.5
142,Morón,20,AR,1584315178,68,-34.65,-58.62,69.8,8.05
143,Alice Springs,0,AU,1584315072,18,-23.7,133.88,73.4,9.17
144,Aksu,3,CN,1584315180,29,41.12,80.26,39.61,4.21
145,Bengkulu,28,ID,1584315181,87,-3.8,102.27,75.34,3.38
146,Lipari,40,IT,1584315183,87,38.47,14.95,59.0,4.7
147,Mońki,63,PL,1584315184,56,53.41,22.8,32.0,35.01
148,Shablykino,50,RU,1584315185,63,52.86,35.2,26.92,9.62
149,Sault Ste. Marie,1,CA,1584315186,36,46.52,-84.33,28.4,3.36
150,Buin,0,CL,1584315187,27,-33.73,-70.75,80.6,6.93
151,Staraya Russa,61,RU,1584315189,68,57.99,31.36,29.32,11.18
152,Peterhead,75,GB,1584315190,74,57.51,-1.8,39.99,13.87
153,Berlevåg,20,NO,1584314733,67,70.86,29.09,23.0,11.41
154,Half Moon Bay,90,US,1584315192,66,37.46,-122.43,55.4,10.29
155,Faanui,1,PF,1584315193,77,-16.48,-151.75,82.71,12.64
156,Jiuquan,100,CN,1584315194,37,39.74,98.52,30.79,2.89
157,Alta Floresta,100,BR,1584315195,96,-9.88,-56.09,72.79,3.47
158,Saint George,1,US,1584315090,37,37.1,-113.58,66.99,19.46
159,Lagoa,0,PT,1584314652,79,39.05,-27.98,60.71,9.53
160,Kapaa,20,US,1584314441,69,22.08,-159.32,80.6,12.75
161,Nikolskoye,82,RU,1584314727,55,59.7,30.79,34.0,11.18
162,New Norfolk,75,AU,1584314618,62,-42.78,147.06,62.01,4.7
163,Shabqadar,20,PK,1584315202,76,34.21,71.56,55.4,4.7
164,Tuktoyaktuk,20,CA,1584314627,70,69.45,-133.04,-2.2,18.34
165,Bontang,49,ID,1584315204,77,0.13,117.5,81.16,13.96
166,Lüderitz,0,NA,1584315206,72,-26.65,15.16,66.2,14.99
167,Thoen,50,TH,1584315207,79,17.61,99.22,70.93,2.1
168,São Miguel do Araguaia,79,BR,1584315208,96,-13.28,-50.16,73.51,5.82
169,Vágur,79,FO,1584315209,69,61.47,-6.81,37.33,17.74
170,Narsaq,56,GL,1584315210,45,60.92,-46.05,23.0,5.82
171,Saint-Pierre,100,RE,1584315211,69,-21.34,55.48,75.2,11.41
172,Kahului,40,US,1584315154,58,20.89,-156.47,84.2,9.17
173,Hammerfest,100,NO,1584315214,73,70.66,23.68,21.2,17.22
174,Lucea,20,JM,1584315215,65,18.45,-78.17,80.6,16.11
175,Middlebury (village),1,US,1584315160,49,44.02,-73.17,28.99,10.29
176,Kibre Mengist,72,ET,1584315217,93,5.88,38.98,61.36,1.52
177,Soto la Marina,13,MX,1584315218,76,23.77,-98.22,75.13,12.75
178,Kiryat Gat,34,IL,1584314966,87,31.61,34.76,59.0,1.12
179,Talnakh,40,RU,1584315220,75,69.49,88.4,-14.8,8.95
180,Cockburn Town,0,TC,1584314987,71,21.46,-71.14,74.23,16.26
181,Ostrovnoy,100,RU,1584314736,96,68.05,39.51,24.31,7.29
182,Sept-Îles,75,CA,1584315224,56,50.2,-66.38,17.01,11.41
183,Narrabri,0,AU,1584315225,49,-30.32,149.78,69.8,13.87
184,Acaraú,100,BR,1584315226,94,-2.89,-40.12,76.41,3.33
185,Alofi,100,NU,1584315227,79,-19.06,-169.92,86.0,8.05
186,Bariloche,0,AR,1584315228,39,-41.15,-71.31,70.0,6.93
187,La Santisima Trinidad,75,BO,1584315230,79,-14.83,-64.9,86.0,1.74
188,Taketa,75,JP,1584315231,80,32.97,131.38,44.6,12.91
189,Dongsheng,80,CN,1584315232,29,39.82,109.98,36.99,12.19
190,Yellowknife,75,CA,1584314726,53,62.46,-114.35,21.2,39.15
191,Shimoda,40,JP,1584315234,43,34.67,138.95,51.8,8.05
192,Haapiti,20,PF,1584315235,62,-17.57,-149.87,89.6,6.93
193,Pisco,75,PE,1584314727,30,-13.7,-76.22,71.6,18.34
194,Saint Paul Harbor,75,US,1584314659,55,57.79,-152.41,39.2,2.77
195,Ekpoma,27,NG,1584315239,87,6.74,6.14,78.04,2.98
196,Souillac,40,MU,1584314673,88,-20.52,57.52,73.99,3.36
197,Maxixe,0,MZ,1584315241,82,-23.86,35.35,78.76,10.85
198,Kavieng,93,PG,1584315242,71,-2.57,150.8,83.61,5.88
199,Fraserburgh,75,GB,1584315243,74,57.69,-2.02,39.99,13.87
200,Provideniya,75,RU,1584315244,92,64.38,-173.3,28.4,6.71
201,Elizabeth City,90,US,1584315245,70,36.29,-76.25,48.99,16.11
202,College,20,US,1584314733,86,64.86,-147.8,34.0,4.7
203,Longyearbyen,90,SJ,1584314936,64,78.22,15.64,-0.4,13.87
204,Severo-Kuril'sk,100,RU,1584314899,97,50.68,156.12,28.85,34.9
205,Mogadishu,87,SO,1584315250,82,2.04,45.34,82.53,19.35
206,Eyl,79,SO,1584315251,77,7.98,49.82,79.56,11.14
207,Linqiong,40,CN,1584315252,100,30.42,103.46,55.99,2.24
208,Tiznit Province,71,MA,1584315254,87,29.58,-9.5,50.0,5.35
209,San Ramon,90,US,1584315255,58,37.78,-121.98,55.4,14.99
210,Sibu,75,MY,1584315256,100,2.3,111.82,75.2,2.57
211,Kumul,0,CN,1584315257,30,42.8,93.45,34.63,2.71
212,Yulara,0,AU,1584315258,13,-25.24,130.99,77.0,11.41
213,Padang,84,ID,1584315259,88,-0.95,100.35,70.21,5.32
214,Ilulissat,0,GL,1584315260,46,69.22,-51.1,-14.8,5.82
215,Kloulklubed,75,PW,1584314735,83,7.04,134.26,80.6,6.93
216,Abu Samrah,81,SY,1584315263,86,35.3,37.18,53.53,6.38
217,Katsuura,40,JP,1584315264,75,35.13,140.3,51.01,10.29
218,Nishihara,0,JP,1584315265,45,26.18,127.76,64.4,19.46
219,Naze,75,JP,1584314725,48,28.37,129.48,60.8,18.34
220,Kédougou,59,SN,1584315267,16,12.56,-12.17,79.45,3.02
221,Addis Ababa,75,ET,1584315268,63,9.03,38.75,66.2,9.17
222,Shihezi,0,CN,1584315269,51,44.3,86.03,36.18,0.85
223,Falmouth,0,GB,1584315271,81,50.15,-5.07,46.0,13.87
224,Rawson,75,AR,1584315272,58,-43.3,-65.1,65.25,18.03
225,Ghātsīla,64,IN,1584315273,73,22.6,86.48,72.0,0.29
226,Jumla,0,NP,1584315274,50,29.27,82.18,23.85,6.62
227,Richards Bay,23,ZA,1584315275,79,-28.78,32.04,78.19,24.49
228,Vuktyl,60,RU,1584315277,91,63.86,57.31,-0.65,6.87
229,Araouane,2,ML,1584314895,9,18.9,-3.53,78.06,7.0
230,Sioux Lookout,90,CA,1584315279,39,50.1,-91.92,30.2,8.05
231,Puerto Gaitán,94,CO,1584315280,38,4.31,-72.08,88.54,6.51
232,Gornopravdinsk,100,RU,1584315281,85,60.05,69.9,22.89,12.91
233,Maryborough,37,AU,1584315051,63,-25.53,152.7,74.12,11.92
234,Vardø,90,NO,1584314906,67,70.37,31.11,19.4,10.29
235,Soyo,100,AO,1584315284,91,-6.13,12.37,80.46,2.44
236,Meulaboh,57,ID,1584315286,77,4.14,96.13,83.12,9.15
237,Beringovskiy,8,RU,1584314731,84,63.05,179.32,27.63,4.68
238,Caucayá,46,CO,1584315288,81,-0.19,-74.78,76.86,2.06
239,Hastings,50,GB,1584314999,93,50.86,0.57,48.2,5.82
240,Ambon City,20,ID,1584315290,74,-3.7,128.18,84.2,3.36
241,San Vicente,82,AR,1584315291,53,-26.62,-54.13,78.1,5.28
242,Thompson,90,CA,1584315025,57,55.74,-97.86,19.4,13.87
243,Acarí,98,PE,1584315294,91,-15.43,-74.62,67.64,3.04
244,Kushiro,75,JP,1584315295,68,42.98,144.37,24.8,4.7
245,Carauari,99,BR,1584315296,95,-4.88,-66.9,77.25,1.68
246,Westport,1,US,1584315161,16,41.14,-73.36,50.0,10.29
247,Iranshahr,35,IR,1584315298,41,27.2,60.68,64.24,3.71
248,Tooele,1,US,1584314723,31,40.53,-112.3,64.4,25.28
249,Cap Malheureux,40,MU,1584315300,88,-19.98,57.61,73.99,3.36
250,Ulaangom,100,MN,1584315301,89,49.98,92.07,3.09,0.43
251,São João del Rei,20,BR,1584315303,68,-21.14,-44.26,69.8,3.36
252,Chokurdakh,0,RU,1584315304,84,70.63,147.92,-15.27,6.06
253,Tabas,100,IR,1584315305,73,33.6,56.92,58.05,9.1
254,Fairbanks,90,US,1584315306,80,64.84,-147.72,35.01,2.75
255,Kultuk,96,RU,1584315307,95,51.72,103.7,18.25,2.8
256,Toamasina,75,MG,1584315308,94,-18.17,49.38,77.0,11.41
257,Quatre Cocos,40,MU,1584314985,88,-20.21,57.76,73.99,3.36
258,Cherskiy,88,RU,1584315311,89,68.75,161.3,-0.67,3.83
259,Bhīmunipatnam,20,IN,1584315312,88,17.88,83.43,75.2,2.24
260,Mount Isa,18,AU,1584314732,31,-20.73,139.5,77.0,8.05
261,Pevek,65,RU,1584315314,82,69.7,170.31,6.1,13.62
262,Labuhan,100,ID,1584315040,85,-6.88,112.21,77.45,4.74
263,Freetown,100,SL,1584315316,65,8.48,-13.23,82.4,11.41
264,San Andrés,20,CO,1584315213,66,12.58,-81.7,84.2,11.41
265,La Asuncion,81,VE,1584315319,83,11.03,-63.86,78.8,5.82
266,Mossamedes,79,AO,1584315320,76,-15.2,12.15,75.31,3.76
267,Deputatsky,1,RU,1584315321,78,69.3,139.9,-21.37,3.18
268,Port Lincoln,75,AU,1584315322,51,-34.73,135.87,70.32,13.62
269,Gēdo,100,ET,1584315324,90,9.02,37.45,59.58,2.98
270,Portland,40,US,1584314963,42,45.52,-122.68,50.0,26.4
271,Bonthe,100,SL,1584315138,84,7.53,-12.51,80.92,8.57
272,Kaeo,100,NZ,1584314954,76,-35.1,173.78,69.01,5.99
273,Kangaatsiaq,100,GL,1584315328,95,68.31,-53.46,2.61,19.64
274,Ambilobe,100,MG,1584315329,90,-13.2,49.05,78.57,5.39
275,Cayenne,40,GF,1584315330,74,4.93,-52.33,80.6,3.36
276,Huilong,37,CN,1584315332,46,31.81,121.66,51.01,9.64
277,Garhi Khairo,84,PK,1584315333,37,28.06,67.98,69.08,4.29
278,Tiksi,100,RU,1584315334,81,71.69,128.87,7.47,20.62
279,Vieux Fort,20,LC,1584315335,78,13.72,-60.95,78.8,8.05
280,Edéa,40,CM,1584315336,88,3.8,10.13,82.4,1.12
281,Falāvarjān,3,IR,1584315337,54,32.56,51.51,35.6,4.7
282,Talara,1,PE,1584315339,100,-4.58,-81.27,62.6,11.41
283,Nemuro,83,JP,1584315340,68,43.32,145.57,27.66,4.72
284,Lovozero,100,RU,1584315341,93,68.0,35.01,22.84,6.35
285,Kafanchan,31,NG,1584315342,11,9.58,8.3,70.05,5.66
286,Kuleshovka,87,RU,1584315343,62,47.08,39.56,21.2,8.95
287,Klyuchi,100,RU,1584315344,83,52.27,79.17,36.27,15.73
288,Kokkola,90,FI,1584315345,93,63.84,23.13,39.0,14.99
289,Ancud,90,CL,1584315347,67,-41.87,-73.82,62.6,9.17
290,Devils Lake,90,US,1584315273,92,48.11,-98.87,24.8,10.29
291,Honningsvåg,20,NO,1584315349,67,70.98,25.97,19.4,11.41
292,Onega,83,RU,1584315350,80,63.91,38.14,29.68,16.96
293,Ivanteyevka,23,RU,1584315351,85,55.97,37.92,27.0,6.71
294,Port-Gentil,40,GA,1584315352,88,-0.72,8.78,82.4,4.7
295,Beira,4,MZ,1584315353,76,-19.84,34.84,81.81,10.67
296,Norman Wells,20,CA,1584315296,78,65.28,-126.83,15.8,21.92
297,Bodden Town,20,KY,1584315356,74,19.28,-81.25,80.6,14.99
298,Lubumbashi,100,CD,1584315357,96,-11.66,27.48,65.17,5.5
299,Saint-Joseph,100,RE,1584315358,69,-21.37,55.62,75.2,11.41
300,Puri,40,IN,1584315359,94,19.8,85.85,75.2,2.08
301,Tadine,100,NC,1584315360,67,-21.55,167.88,84.72,12.17
302,Sabzawār,100,IR,1584315361,66,36.21,57.68,53.92,12.84
303,Almaznyy,1,RU,1584315363,62,48.04,40.05,21.2,8.95
304,Usinsk,100,RU,1584315364,81,65.99,57.53,9.23,22.64
305,Sīwah,0,EG,1584315365,32,29.2,25.52,68.0,6.87
306,Diamantino,84,BR,1584315366,90,-14.41,-56.45,74.71,2.71
307,Saldanha,100,ZA,1584315367,72,-33.01,17.94,60.8,9.17
308,Luganville,100,VU,1584315368,95,-15.53,167.17,77.27,1.79
309,Snåase,100,NO,1584315369,96,64.25,12.38,21.74,20.96
310,Owerri,80,NG,1584315371,83,5.48,7.03,84.2,5.82
311,Oinacu,1,RO,1584315372,63,43.95,26.02,35.01,1.12
312,Sāl,47,JO,1584315373,87,32.57,35.91,51.8,2.04
313,Hay River,75,CA,1584315374,68,60.82,-115.8,28.4,16.11
314,Matagami,1,CA,1584315375,60,49.75,-77.63,8.6,2.24
315,Khani,90,GE,1584315376,100,41.96,42.96,44.6,10.29
316,Turbat,78,PK,1584315093,52,26.0,63.04,65.73,0.31
317,Maningrida,6,AU,1584315379,67,-12.07,134.27,81.97,5.23
318,Ojinaga,1,MX,1584315380,20,29.57,-104.42,87.8,12.75
319,Congleton,90,GB,1584315239,70,53.16,-2.21,46.0,10.29
320,Nuuk,20,GL,1584315382,64,64.18,-51.72,1.4,18.34
321,Broome,1,US,1584315383,31,42.25,-75.83,35.01,14.99
322,Dingle,0,PH,1584315384,74,11.0,122.67,76.51,10.18
323,San Luis,0,AR,1584315232,56,-33.3,-66.34,65.1,20.36
324,Manali,20,IN,1584315387,83,13.17,80.27,82.0,7.63
325,Tāndā,19,IN,1584315388,53,26.55,82.65,61.9,4.45
326,Liverpool,75,GB,1584315372,75,53.41,-2.98,46.4,12.75
327,Dalvik,20,IS,1584315390,68,65.97,-18.53,30.2,24.16
328,Khovd,51,MN,1584315391,31,48.01,91.64,23.65,5.17
329,Los Baños,75,PH,1584315392,74,14.17,121.18,81.0,5.82
330,Salekhard,60,RU,1584315393,98,66.53,66.6,-9.26,3.29
331,Ulladulla,75,AU,1584315395,100,-35.35,150.47,62.6,13.87
332,Shingū,20,JP,1584314727,75,33.73,135.98,42.8,11.41
333,Dorado,20,PR,1584315397,65,18.46,-66.27,77.0,10.29
334,Marawi,12,PH,1584315398,73,8.0,124.29,73.99,7.0
335,Caravelas,79,BR,1584315399,79,-17.71,-39.25,80.38,8.3
336,Los Llanos de Aridane,20,ES,1584315400,68,28.66,-17.92,64.4,21.92
337,Torbay,40,CA,1584315313,73,47.67,-52.73,27.0,14.99
338,Paramonga,65,PE,1584315308,88,-10.67,-77.83,72.86,9.8
339,Mama,100,RU,1584315404,96,58.31,112.9,24.24,5.26
340,Aksarka,0,RU,1584315405,75,66.56,67.8,-8.84,3.24
341,Hualmay,98,PE,1584315406,76,-11.1,-77.61,72.79,4.32
342,Vicuña,90,CL,1584315407,82,-30.03,-70.71,62.6,6.93
343,Kupino,100,RU,1584315408,84,54.37,77.3,34.65,25.86
344,Nanortalik,58,GL,1584314698,71,60.14,-45.24,20.21,19.89
345,Port Moresby,40,PG,1584315410,94,-9.44,147.18,77.0,9.17
346,Sinnamary,45,GF,1584315412,77,5.38,-52.95,79.88,16.13
347,Kununurra,0,AU,1584315413,69,-15.77,128.73,80.6,4.36
348,Magadan,100,RU,1584315414,66,59.57,150.8,7.92,14.43
349,Kavaratti,59,IN,1584315415,70,10.57,72.64,82.0,5.86
350,Lavrentiya,48,RU,1584315416,89,65.58,-171.0,27.88,8.81
351,Luwuk,47,ID,1584315417,75,-0.95,122.79,81.12,3.44
352,Loudéac,90,FR,1584315418,93,48.18,-2.75,46.99,6.93
353,Mount Gambier,0,AU,1584315420,76,-37.83,140.77,57.2,11.41
354,Leningradskiy,25,RU,1584315421,72,69.38,178.42,15.1,5.57
355,Constitución,0,CL,1584315422,86,-35.33,-72.42,53.1,7.0
356,Port Augusta,0,AU,1584315423,56,-32.5,137.77,71.01,1.12
357,Asău,0,RO,1584315424,58,46.43,26.4,25.0,2.24
358,Lenger,100,KZ,1584315426,34,42.18,69.88,53.6,6.71
359,Semnan,47,IR,1584315427,49,35.57,53.4,55.45,4.41
360,San Matías,74,BO,1584315428,72,-16.37,-58.4,81.77,6.71
361,Xunchang,100,CN,1584315429,54,28.45,104.72,56.8,4.56
362,Pontianak,12,ID,1584315430,95,-0.03,109.33,76.53,2.3
363,Paraná,99,AR,1584315431,94,-31.73,-60.52,70.0,1.01
364,Vestmannaeyjar,100,IS,1584315432,89,63.44,-20.27,38.32,43.71
365,Launceston,89,AU,1584315434,67,-41.45,147.17,64.0,4.7
366,Velizh,0,RU,1584315435,72,55.61,31.2,27.0,5.14
367,Poum,48,NC,1584314988,79,-20.23,164.02,82.38,13.15
368,Manutuke,100,NZ,1584315437,63,-38.68,177.92,71.01,3.0
369,Tuatapere,98,NZ,1584315438,85,-46.13,167.68,54.0,10.0
370,Sorong,20,ID,1584314982,69,-0.88,131.25,82.36,3.44
371,Vrangel',33,RU,1584315441,69,42.73,133.08,29.34,21.09
372,Tinskoy,100,RU,1584315442,94,56.15,96.92,30.06,7.16
373,Skellefteå,69,SE,1584315443,88,64.75,20.95,39.0,9.17
